Название;Цена;Ссылка
Зелёный чай Самокат, Четыре ягоды, с добавками, в пирамидках;309;https://samokat.ru/product/3420fe9e-229a-11eb-8599-1c34dae33151
Молочный улун Самокат, с листьями земляники, в пакетиках;339;https://samokat.ru/product/af8713d0-a017-11ee-ae7a-08c0eb320147
Зелёный чай Самокат, жасмин, в пакетиках;379;https://samokat.ru/product/ebf9af89-9e84-11ee-b973-08c0eb32008b
Зелёный чай Curtis, Fresh Mojito, в пирамидках;125;https://samokat.ru/product/c2c15311-c82b-11ea-b7de-0050560306e1
Из Шри-Ланки: Зелёный чай McCoy Teas, в пакетиках;199;https://samokat.ru/product/18b754a8-be85-11ed-b970-08c0eb32008b
Зелёный чай Greenfield, Green Melissa, в пакетиках;496;https://samokat.ru/product/1c06d42c-fa98-11e8-80c5-0cc47a817925
Зелёный чай Greenfield, Jasmine Dream, в пакетиках;149;https://samokat.ru/product/33eae9e8-fa98-11e8-80c5-0cc47a817925
Зелёный чай Niktea, Энерджи, энергетик, в пакетиках;299;https://samokat.ru/product/78b56b3e-86ea-11ef-8861-08c0eb32014b
Чайный напиток Самокат, Габа Алишань, красный;329;https://samokat.ru/product/373dab57-3589-11ec-85ad-1c34dae33151
Чайный напиток Floris, липа и бузина;149;https://samokat.ru/product/325b6664-cb4e-11ee-b10b-08c0eb31fffb
Чёрный чай Be Fruit Be, крупнолистовой, с соком и кусочками ананаса, с манго и маракуйей;319;https://samokat.ru/product/e70baa01-6eab-11ef-b10b-08c0eb31fffb
Зелёный чай Be Fruit Be, крупнолистовой, с соком, кусочками имбиря и лемонграссом;319;https://samokat.ru/product/0a3a0947-6eac-11ef-b10b-08c0eb31fffb
Иван-чай Самокат, с малиной, в пирамидках;249;https://samokat.ru/product/545c0797-e79f-11ea-8599-1c34dae33151
Чайный напиток Самокат Для крепкого сна, травяной, в пирамидках;299;https://samokat.ru/product/523b19ac-eaf7-11eb-a0ee-ec0d9a21b021
